#SYMBOL,SYSTEM,MOMENT,ID_DEAL,PRICE_DEAL,VOLUME,OPEN_POS,DIRECTION
SVH1,F,20110111100000080,255223067,30.46000,1,8714,S
SVH1,F,20110111100000080,255223068,30.38000,1,8714,S
SVH1,F,20110111100000080,255223069,30.32000,1,8714,S
SVH1,F,20110111100000080,255223070,30.28000,2,8714,S
SVH1,F,20110111100000080,255223071,30.25000,1,8714,S
SVH1,F,20110111100000080,255223072,30.05000,1,8714,S
SVH1,F,20110111100000080,255223073,30.05000,3,8714,S
RIH1,F,20110111100000097,255223074,177885.00000,1,291758,B
RIH1,F,20110111100000097,255223075,177935.00000,2,291758,B
RIH1,F,20110111100000097,255223076,177980.00000,10,291758,B
RIH1,F,20110111100000097,255223077,177995.00000,1,291758,B
RIH1,F,20110111100000097,255223078,178100.00000,2,291758,B
RIH1,F,20110111100000097,255223079,178200.00000,1,291758,B
RIH1,F,20110111100000097,255223080,178205.00000,1,291758,B
RIH1,F,20110111100000097,255223081,178340.00000,1,291758,B
RIH1,F,20110111100000097,255223082,178375.00000,2,291758,B
RIH1,F,20110111100000097,255223083,178415.00000,1,291758,B
RIH1,F,20110111100000097,255223084,178480.00000,1,291758,B
RIH1,F,20110111100000097,255223085,178495.00000,8,291758,B
RIH1,F,20110111100000097,255223086,178500.00000,1,291758,B
RIH1,F,20110111100000097,255223087,178500.00000,1,291758,B
RIH1,F,20110111100000097,255223088,178500.00000,1,291758,B
RIH1,F,20110111100000097,255223089,178510.00000,1,291758,B
RIH1,F,20110111100000097,255223090,178515.00000,1,291758,B
RIH1,F,20110111100000097,255223091,178550.00000,1,291758,B
RIH1,F,20110111100000097,255223092,178800.00000,10,291758,B
RIH1,F,20110111100000097,255223093,178880.00000,1,291758,B
RIH1,F,20110111100000097,255223094,178980.00000,1,291758,B
RIH1,F,20110111100000097,255223095,179000.00000,5,291758,B
RIH1,F,20110111100000097,255223096,179000.00000,1,291758,B
RIH1,F,20110111100000097,255223097,179090.00000,1,291758,B
RIH1,F,20110111100000097,255223098,179100.00000,5,291758,B
EDH1,F,20110111100000097,255223099,1.32610,1,142114,S
EDH1,F,20110111100000097,255223100,1.32600,2,142114,S
EDH1,F,20110111100000097,255223101,1.32550,3,142114,S
EDH1,F,20110111100000097,255223102,1.32550,5,142114,S
EDH1,F,20110111100000097,255223103,1.32520,2,142114,S
EDH1,F,20110111100000097,255223104,1.32520,8,142114,S
EDH1,F,20110111100000097,255223105,1.32500,1,142114,S
EDH1,F,20110111100000097,255223106,1.32470,1,142114,S
EDH1,F,20110111100000097,255223107,1.32470,1,142114,S
EDH1,F,20110111100000097,255223108,1.32440,1,142114,S
EDH1,F,20110111100000097,255223109,1.32420,5,142114,S
EDH1,F,20110111100000097,255223110,1.32360,2,142114,S
